idurl,url,md_file_name,title,Summary
11,https://www.hydroshare.org/resource/0b78e7735f2c4e858f3247f740dcd30f/,hydroshare-collection-of-resources-that-illustrate-data-processing-methods-and-computationa-metadata,hydroshare_collection_of_resources_that_illustrate_data_processing_methods_and_computationa,"This collection of resources is was assembled to illustrate ways to use and work with data in HydroShare through its applications programming interface (API), the web application connector resource type, and web services for some content types. Pr..."
12,https://www.hydroshare.org/resource/f7d6db8f8677402d808531924bbcf60c/,hydroshare-cuahsi-si23-theme-1-nextgen-aridity-cfe-cong-outputs-metadata,hydroshare_cuahsi_si23_theme_1_nextgen_aridity_cfe_cong_outputs,This resource provides NextGen water modeling. Facilitates data sharing and collaborative analysis.
13,https://www.hydroshare.org/resource/302dcbef13614ac486fb260eaa1ca87c/,hydroshare-curated-list-of-datasets-for-the-ciroh-portal-metadata,hydroshare_curated_list_of_datasets_for_the_ciroh_portal,"This HydroShare resource provides a curated collection of datasets relevant to CIROH, NOAA, and the U.S. National Weather Service. The collection is managed to highlight resources of particular interest and importance to these organizations."
14,https://www.hydroshare.org/resource/1e934d92acdb42fa8379cd5009371150/,hydroshare-daily-aorc-meteorological-forcings-1979-2023-for-nextgen-camels-hydrofabric-catc-metadata,hydroshare_daily_aorc_meteorological_forcings_1979_2023_for_nextgen_camels_hydrofabric_catc,"This HydroShare resource provides a remapped daily version of the AORC meteorological forcings (1979-2023) for 671 CAMELS basins, spatially averaged to Hydrofabric catchments using a conservative remapping technique and made available in NetCDF format."
15,https://www.hydroshare.org/resource/0d0a8d67a7fe4676bc84f6973dde0fc8/,hydroshare-data-and-code-for-building-and-executing-scientic-workbows-in-the-cloud-metadata,hydroshare_data_and_code_for_building_and_executing_scientic_workbows_in_the_cloud,Data and code demonstrate building/executing scientific workflows in the cloud. It leverages cyberinfrastructure developed for the HydroShare Modernization project.
16,https://www.hydroshare.org/resource/48b3355015f84e98a2cc6b6d134e77f2/,hydroshare-david-tarbotons-working-les-from-ciroh-jupyterhub-tutorial-metadata,hydroshare_david_tarbotons_working_les_from_ciroh_jupyterhub_tutorial,This modeling resource provides NextGen water modeling. Facilitates data sharing and collaborative analysis.
17,https://www.hydroshare.org/resource/3200bab682ec4c3287147cbe40e768ee/,hydroshare-demonstration-of-the-national-water-models-applicability-to-community-resilience-metadata,hydroshare_demonstration_of_the_national_water_models_applicability_to_community_resilience,This data and code resource provides flood analysis for hydrologic analysis. Facilitates data sharing and collaborative analysis.
18,https://www.hydroshare.org/resource/0ef4366e7711478fa2637f5049b4881a/,hydroshare-demonstration-of-the-national-water-models-applicability-to-community-resilience-planning-cincinnati-metadata,hydroshare_demonstration_of_the_national_water_models_applicability_to_community_resilience_planning_cincinnati,This data and code resource provides flood analysis. Supports hydrologic research and modeling applications.
19,https://www.hydroshare.org/search/,hydroshare-discover-search-page-metadata,hydroshare_discover_search_page,HydroShare discovery page for searching and finding hydrologic resources.
20,https://www.hydroshare.org/resource/8d9c881c3ef14a22a1f411b66fb7aa05/,hydroshare-drought-on-the-blue-nile-using-spi-metadata,hydroshare_drought_on_the_blue_nile_using_spi,This resource provides precipitation analysis. Facilitates data sharing and collaborative analysis.
21,https://www.hydroshare.org/resource/023bfa101586432ba0f6ed9ddfea60a9/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-cir-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_cir,Collaboration is central to CIROH. Provides resources for hydrologic analysis and research.
22,https://www.hydroshare.org/resource/75e311b73ba64f259ec52668e458ca99/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-ciroh-science-meeting-poster-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_ciroh_science_meeting_poster,This dataset provides NextGen water modeling with Jupyter notebooks for analysis. Supports hydrologic research and modeling applications.
23,https://www.hydroshare.org/resource/7477452a93e04b1099a3879353c2253a/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-wor-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_wor,"CIROH research necessitates collaboration, data and model sharing, easy to use, generally accessible, shareable computing, and working together as a team and community. Provides resources for hydrologic analysis and research."
24,https://help.hydroshare.org/,hydroshare-help-support-page-metadata,hydroshare_help_support_page,HydroShare help and support documentation for users.
25,https://www.hydroshare.org/resource/4d98edaf289942e49ba1e2491d123a32/,hydroshare-high-water-marks-july-2024-vermont-floods-uvm-floodplains-metadata,hydroshare_high_water_marks_july_2024_vermont_floods_uvm_floodplains,This dataset provides flood analysis. Facilitates data sharing and collaborative analysis.
26,https://www.hydroshare.org/resource/5d88721054a5458d93ad837192f38abb/,hydroshare-high-water-marks-july-and-december-2023-vermont-floods-uvm-floodplains-metadata,hydroshare_high_water_marks_july_and_december_2023_vermont_floods_uvm_floodplains,This dataset provides flood analysis. Facilitates data sharing and collaborative analysis.
27,https://www.hydroshare.org/resource/631be88704ef4167b12e9ad9d2529ba9/,hydroshare-hydrofabric-subsetter-and-retrieval-metadata,hydroshare_hydrofabric_subsetter_and_retrieval,This dataset provides hydrofabric data. Facilitates data sharing and collaborative analysis.
28,https://www.hydroshare.org/resource/72ea9726187e43d7b50a624f2acf591f/,hydroshare-jupyter-notebooks-for-the-retrieval-of-aorc-data-for-hydrologic-analysis-metadata,hydroshare_jupyter_notebooks_for_the_retrieval_of_aorc_data_for_hydrologic_analysis,This dataset provides AORC meteorological data with Jupyter notebooks for analysis. Facilitates data sharing and collaborative analysis.
29,https://www.hydroshare.org/resource/bd9adf97b43c4d0cad5ca72a89343d15/,hydroshare-materials-for-the-cuahsis-workshops-at-the-national-water-center-bootcamp-2024-metadata,hydroshare_materials_for_the_cuahsis_workshops_at_the_national_water_center_bootcamp_2024,"This resource includes materials for two workshops: (1) FAIR Data Management and (2) Advanced Application of Python for Hydrology and Scientific Storytelling, both prepared for presentation at the NWC Summer Institute BootCamp 2024. Provides resou..."
30,https://www.hydroshare.org/resource/89baf422eb1b4e22b4b84279b95a20f4/,hydroshare-nextgen-camels-hydrofabric-v22-noaa-next-generation-water-resources-modeling-fra-metadata,hydroshare_nextgen_camels_hydrofabric_v22_noaa_next_generation_water_resources_modeling_fra,This dataset provides hydrofabric data. Facilitates data sharing and collaborative analysis.
31,https://www.hydroshare.org/resource/6ca065138d764339baf3514ba2f2d72f/,hydroshare-nwm-retrospective-analysis-version-30-data-retrieval-metadata,hydroshare_nwm_retrospective_analysis_version_30_data_retrieval,Provides Jupyter Notebooks for accessing and subsetting the NOAA National Water Model CONUS Retrospective Dataset. Provides resources for hydrologic analysis and research.
32,https://www.hydroshare.org/resource/88e0ebf2719c492381efcb27fba71032/,hydroshare-provo-river-near-woodland-gage-10154200-ngiab-case-study-calibrated-metadata,hydroshare_provo_river_near_woodland_gage_10154200_ngiab_case_study_calibrated,This dataset provides NextGen water modeling. Supports hydrologic research and modeling applications.
33,https://www.hydroshare.org/resource/5caaa9919c2e490eb735aebc5e741c35/,hydroshare-python-notebook-for-retrieving-retrospective-national-water-model-forecasts-metadata,hydroshare_python_notebook_for_retrieving_retrospective_national_water_model_forecasts,This python notebook demonstrates a simple method for retrieving time series data from the Amazon Web Services (AWS) archive of the U. Provides resources for hydrologic analysis and research.
34,https://www.hydroshare.org/resource/ff4e9c4e87ef4d7d923efe77f5ed2b83/,hydroshare-rice-net-dataset-metadata,hydroshare_rice_net_dataset,This modeling resource provides river analysis. Facilitates data sharing and collaborative analysis.
35,https://www.hydroshare.org/resource/7d960b7fdfee480895fd845bade1b75a/,hydroshare-stream-temperature-seasonal-thermal-regime-data-metadata,hydroshare_stream_temperature_seasonal_thermal_regime_data,This data and code resource provides temperature data with Jupyter notebooks for analysis. Facilitates data sharing and collaborative analysis.
36,https://www.hydroshare.org/resource/db862614dd8643648940988bb9cc9e8c/,hydroshare-streambow-stats-for-the-usgs-stream-gage-cheery-creek-at-denver-usgs-station-id--metadata,hydroshare_streambow_stats_for_the_usgs_stream_gage_cheery_creek_at_denver_usgs_station_id_,"This data contains detailed information about the basin characteristics and streamflow characteristics for the US stream gage Cheery Creek at Denver, Colorado (station ID: 06713500). Provides resources for hydrologic analysis and research."
37,https://www.hydroshare.org/resource/a8b243957f7946e388d10ab206990675/,hydroshare-tempest-2-development-data-observed-stream-temperature-covariates-performance-da-metadata,hydroshare_tempest_2_development_data_observed_stream_temperature_covariates_performance_da,This data and code resource provides temperature data with Jupyter notebooks for analysis. Facilitates data sharing and collaborative analysis.
38,https://www.hydroshare.org/resource/4b5d7c4a47da4e05bc6507b3071d1c82/,hydroshare-the-cuahsi-hydroshare-platform-for-hydrology-data-and-model-sharing-metadata,hydroshare_the_cuahsi_hydroshare_platform_for_hydrology_data_and_model_sharing,"Poster for AGU Fall Meeting, December 11, 2023
https://agu. Provides resources for hydrologic analysis and research."
39,https://www.hydroshare.org/resource/4d98edaf289942e49ba1e2491d123a32/,hydroshare-vermont-floods-metadata,hydroshare_vermont_floods,This dataset provides flood analysis. Facilitates data sharing and collaborative analysis.
40,https://www.hydroshare.org/resource/fc8539358fe64ca6a47468728a0687a1/,hydroshare-working-with-hydroshare-aorc-data-hydrofabric-and-nextgen-on-ciroh-jupyterhub-tu-metadata,hydroshare_working_with_hydroshare_aorc_data_hydrofabric_and_nextgen_on_ciroh_jupyterhub_tu,This dataset provides AORC meteorological data with Jupyter notebooks for analysis. Supports hydrologic research and modeling applications.
