idurl,url,md_file_name,title,Summary
11,https://www.hydroshare.org/resource/0b78e7735f2c4e858f3247f740dcd30f/,hydroshare-collection-of-resources-that-illustrate-data-processing-methods-and-computationa-metadata,hydroshare_collection_of_resources_that_illustrate_data_processing_methods_and_computationa,"Title: Collection of resources that illustrate data processing methods and computational and modeling libraries in HydroShare and linked JupyterHub computing platforms
Abstract summary: This collection demonstrates methods for programmatic interaction with data stored within the HydroShare repository. It showcases the use of HydroShare's Application Programming Interface (API), web application connectors, and web services to facilitate advanced data workflows. The resource aggregates diverse tutorial examples, including Jupyter notebooks and scripts, that cover a range of hydrologic models and tools like the National Water Model, TauDEM, and LandLab. Its primary significance lies in providing a practical, example-based learning toolkit that empowers researchers to develop their own custom scripts and computational tools for analyzing hydrologic data within the HydroShare ecosystem.
Primary Purpose: The main goal of this resource is to serve as a curated set of tutorial examples for the HydroShare platform. It is designed to teach researchers and data scientists how to utilize HydroShare's advanced computational capabilities for data processing, analysis, and modeling. Its intended application is educational and as a reference for developing new, reproducible research workflows."
12,https://www.hydroshare.org/resource/f7d6db8f8677402d808531924bbcf60c/,hydroshare-cuahsi-si23-theme-1-nextgen-aridity-cfe-cong-outputs-metadata,hydroshare_cuahsi_si23_theme_1_nextgen_aridity_cfe_cong_outputs,"Title: CUAHSI-SI23 Theme-1 Nextgen-aridity: CFE config & outputs

Abstract summary: This dataset, a product of the CUAHSI Summer Institute 2023, presents calibration results for the Conceptual Functional Equivalent (CFE) model across CAMELS US basins. It contains initial parameter configurations, best-calibrated parameters, and resulting streamflow outputs for both CFE-classic and CFE-ODE model versions. Calibration was performed for the 2000-2009 water years using the Dynamically Dimensioned Search (DDS) optimization algorithm with a one-year spin-up period. The resource provides a valuable contribution to the NextGen modeling community, offering a performance baseline and parameters for diverse hydrologic conditions. A minor baseflow convergence issue in a few basins is noted for transparency.

Primary Purpose: The primary purpose of this dataset is to provide a comprehensive set of calibrated parameters and corresponding streamflow outputs for the Conceptual Functional Equivalent (CFE) model applied to CAMELS US basins. This resource was created to support the NextGen modeling community by offering a validated starting point for further model development, performance evaluation, and reproducible hydrologic research."
13,https://www.hydroshare.org/resource/302dcbef13614ac486fb260eaa1ca87c/,hydroshare-curated-list-of-datasets-for-the-ciroh-portal-metadata,hydroshare_curated_list_of_datasets_for_the_ciroh_portal,"Title: Curated List of Datasets for the CIROH Portal
Abstract summary: This HydroShare resource is a curated and managed collection of datasets specifically selected for their relevance to the Cooperative Institute for Research to Operations in Hydrology (CIROH), NOAA, and the U.S. National Weather Service. The collection provides a centralized, quality-controlled gateway to high-value data essential for hydrologic forecasting and research. By vetting resources for importance, this collection aims to streamline access to critical information, supporting the transition of research advancements into operational forecasting applications, particularly those related to initiatives like the National Water Model.
Primary Purpose: The primary purpose of this resource is to serve as a centralized and managed collection of high-value datasets for the CIROH community. It is designed to provide researchers and operational forecasters from NOAA and the National Weather Service with reliable access to vetted data, thereby facilitating research-to-operations initiatives by streamlining information discovery."
14,https://www.hydroshare.org/resource/1e934d92acdb42fa8379cd5009371150/,hydroshare-daily-aorc-meteorological-forcings-1979-2023-for-nextgen-camels-hydrofabric-catc-metadata,hydroshare_daily_aorc_meteorological_forcings_1979_2023_for_nextgen_camels_hydrofabric_catc,"Title: Daily AORC meteorological forcings (1979-2023) for Nextgen-CAMELS-Hydrofabric Catchments (v2.2)
Abstract summary: This dataset provides meteorological forcings tailored for the NOAA National Water Model's upcoming transition to a catchment-based structure using the NextGen Hydrofabric. The high-resolution, gridded AORC dataset (1979-2023) was processed to daily catchment-areal-mean values for the 671 CAMELS basins. A spatially-conservative remapping technique was used to aggregate variables, with maximum and minimum temperatures also derived. The resulting netCDF data is formatted to Nextgen standards, offering a model-ready input for retrospective hydrologic simulations. Its primary significance lies in bridging gridded climate data with the new catchment-based modeling framework, providing a core input required for running and evaluating the Nextgen model across this large-sample watershed collection.
Primary Purpose: The main goal is to supply essential, model-ready meteorological forcing data for the Next Generation Water Resources Modeling Framework (Nextgen). Its intended application is to drive hydrologic simulations across the CAMELS basins as defined by the NextGen Hydrofabric, thereby supporting research and model development for the next iteration of the National Water Model."
15,https://www.hydroshare.org/resource/0d0a8d67a7fe4676bc84f6973dde0fc8/,hydroshare-data-and-code-for-building-and-executing-scientic-workbows-in-the-cloud-metadata,hydroshare_data_and_code_for_building_and_executing_scientic_workbows_in_the_cloud,"Title: Data and Code for Building and Executing Scientific Workflows in the Cloud
Abstract summary: This resource provides data and code for building and executing reproducible scientific workflows in cloud environments. Developed under the 'HydroShare Modernization' CIROH research project, it demonstrates the use of modern cyberinfrastructure, including the Argo workflow engine, to run the Next Generation (NGEN) water modeling framework. The materials, which focus on the Great Basin Region (HUC2 16), serve as a practical guide for researchers transitioning to scalable, cloud-based computational methods. Presented at the CIROH DevCon 2024, this dataset promotes best practices for reproducible science in hydrologic modeling.
Primary Purpose: The primary purpose of this resource is to demonstrate and facilitate the adoption of cloud-based scientific workflows for hydrologic research. It provides researchers with the necessary data, code, and examples to build, deploy, and execute scalable models like NGEN using modern cyberinfrastructure. This dataset serves as an educational tool and practical template for implementing reproducible science in a cloud computing environment."
16,https://www.hydroshare.org/resource/48b3355015f84e98a2cc6b6d134e77f2/,hydroshare-david-tarbotons-working-les-from-ciroh-jupyterhub-tutorial-metadata,hydroshare_david_tarbotons_working_les_from_ciroh_jupyterhub_tutorial,"Title: David Tarbotons working files from CIROH JupyterHub Tutorial
Abstract summary: This resource contains working files generated during the CIROH HydroShare NextGen Model Tutorial. It functions as a pedagogical example to introduce the NextGen water resources modeling framework and demonstrate a practical workflow for integrating the CIROH JupyterHub with HydroShare for collaborative research. The dataset provides example outputs and files from tutorial exercises, illustrating best practices for sharing computational work products within the CIROH community. Its significance lies in its educational value, supporting the transition of the hydrologic modeling community to the NextGen framework and promoting reproducible, collaborative data sharing practices.
Primary Purpose: The primary purpose of this dataset is to serve as an educational and demonstrative resource for the hydrologic community. It was created to provide a tangible example of working files and outputs from the CIROH NextGen Model Tutorial. Its intended application is to help researchers and students understand the practical workflow of using the NextGen modeling framework within the CIROH JupyterHub and HydroShare ecosystem."
17,https://www.hydroshare.org/resource/3200bab682ec4c3287147cbe40e768ee/,hydroshare-demonstration-of-the-national-water-models-applicability-to-community-resilience-metadata,hydroshare_demonstration_of_the_national_water_models_applicability_to_community_resilience,"Title: Demonstration of the National Water Model's Applicability to Community Resilience Planning: Minnesota Use Case

Abstract summary: This resource demonstrates the local application of NOAA's National Water Model (NWM) for community resilience planning, focusing on the Long Prairie Watershed in Minnesota. It provides a comprehensive set of codes and data for retrieving and evaluating NWM streamflow outputs. The methodology includes flow duration analysis, calculation of annual exceedance probabilities, and flood inundation mapping to assess local flood risk. The work's primary significance lies in offering a practical, reproducible workflow that bridges the gap between national-scale hydrologic forecasting and local decision-making. This use case serves as a valuable template for other communities seeking to leverage advanced hydrologic models to improve their flood preparedness and resilience strategies.

Primary Purpose: The primary purpose of this dataset is to demonstrate the practical application of NOAA's National Water Model (NWM) for local-scale community resilience planning. It provides a reproducible workflow, including code and data, that serves as a template for communities to assess flood risk using national hydrologic model outputs."
18,https://www.hydroshare.org/resource/0ef4366e7711478fa2637f5049b4881a/,hydroshare-demonstration-of-the-national-water-models-applicability-to-community-resilience-planning-cincinnati-metadata,hydroshare_demonstration_of_the_national_water_models_applicability_to_community_resilience_planning_cincinnati,"Title: Demonstration of the National Water Model's Applicability to Community Resilience Planning: Cincinnati Use Case
Abstract summary: This dataset provides the necessary codes and data to demonstrate a local-scale application of NOAA's National Water Model (NWM) for community resilience planning. Focusing on the Fowler Creek watershed in Kentucky, it showcases a workflow for evaluating the NWM and enhancing its accessibility for new users, such as transportation and emergency planners. The NWM is a comprehensive hydrologic model providing historical, current, and forecasted streamflow data across the nation. This resource specifically illustrates how NWM v3.0 retrospective data can be used for flood inundation mapping, contributing to broader efforts to build trust in and operationalize advanced predictive hydrologic models for practical planning applications.

Primary Purpose: The main goal of this dataset is to serve as a practical guide and use case for applying National Water Model outputs to local community resilience challenges. It provides the tools to retrieve and process NWM streamflow data to generate flood inundation maps, enabling planners to evaluate its utility against established sources like FEMA."
19,https://www.hydroshare.org/search/,hydroshare-discover-search-page-metadata,hydroshare_discover_search_page,"Title: Discover - CUAHSI HydroShare
Abstract summary: The CUAHSI HydroShare Discover page functions as a dedicated resource discovery portal designed to address the challenge of locating and accessing hydrologic data and models. The platform provides advanced search capabilities, allowing users to filter resources by temporal and spatial coverage, author, content type, and subject keywords. An interactive map display offers a visual representation of resource locations. This system supports a wide range of content, from time series and geographic data to computational models and curated collections, enabling the scientific community to efficiently find, explore, and build upon existing research.
Primary Purpose: The main goal of this resource is to serve as the primary entry point for discovering publicly available hydrologic data and models shared within the community. Its intended application is to allow researchers, students, and practitioners to efficiently locate and access relevant scientific resources for research, education, and practice. The platform facilitates the exploration of datasets and models based on specific criteria to support and advance water science."
20,https://www.hydroshare.org/resource/8d9c881c3ef14a22a1f411b66fb7aa05/,hydroshare-drought-on-the-blue-nile-using-spi-metadata,hydroshare_drought_on_the_blue_nile_using_spi,"Title: Drought on the Blue Nile Using SPI
Abstract summary: This dataset provides data for assessing drought conditions within the Blue Nile basin, a critical tributary of the Nile River. The study employs the Standard Precipitation Index (SPI) to characterize drought patterns, frequency, and severity. Although designated as a work in progress, this resource leverages HydroSHEDS and HydroBASINS datasets for a comprehensive spatial analysis. The work's significance lies in its potential to improve drought monitoring, support regional water resources management, and enhance understanding of climate impacts on this vital transboundary water system.

Primary Purpose: The main goal of this dataset is to provide the necessary data for calculating and analyzing drought indices, specifically the SPI, in the Blue Nile basin. It is intended to support hydrological research, inform water management decisions, and contribute to climate impact assessments in the region."
21,https://www.hydroshare.org/resource/023bfa101586432ba0f6ed9ddfea60a9/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-cir-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_cir,"Title: Enabling collaboration through data and model sharing with CUAHSI HydroShare; CIROH Devcon 25 presentation
Abstract summary: This presentation from CIROH DevCon 2025 outlines the use of the CUAHSI HydroShare platform to enhance collaboration within the Cooperative Institute for Research to Operations in Hydrology (CIROH). It details a multi-institutional effort to advance hydrologic science by facilitating the sharing of digital research products, such as models and data, in accordance with FAIR (Findable, Accessible, Interoperable, and Reusable) principles. The work supports CIROH's primary mission to bridge research innovations and operational forecasting. This initiative represents a key step in modernizing cyberinfrastructure to enable more efficient, community-wide collaboration in the hydrologic sciences.
Primary Purpose: This resource documents a presentation showcasing how the HydroShare platform serves as the central collaborative infrastructure for the CIROH community. Its main goal is to demonstrate the system's capabilities for sharing data and models, promoting FAIR principles, and supporting the transition of hydrologic research into operational practice."
22,https://www.hydroshare.org/resource/75e311b73ba64f259ec52668e458ca99/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-ciroh-science-meeting-poster-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_ciroh_science_meeting_poster,"Title: Enabling collaboration through data and model sharing with CUAHSI HydroShare; CIROH Science Meeting Poster
Abstract summary: This project addresses the critical need for collaboration to advance hydrology from research to operations within the Cooperative Institute for Research to Operations in Hydrology (CIROH). It leverages the CUAHSI HydroShare platform to enable sharing of data, models, and workflows consistent with FAIR principles. Key activities include enhancing community data access, establishing interoperability with scalable computing via JupyterHub integration, and fostering a CIROH community. To date, the project has identified high-value datasets, developed corresponding Jupyter Notebooks, and established five thematic user groups. These efforts are foundational for enabling broader use of the NextGen modeling framework, which supports future versions of the National Water Model.
Primary Purpose: The primary purpose of this resource is to disseminate the objectives, progress, and future directions of a project aimed at integrating CUAHSI HydroShare into the CIROH collaborative framework. It contains a poster presented at the 2024 CIROH Science Meeting. The resource documents the effort to enhance data sharing, reproducibility, and community engagement for hydrologic research."
23,https://www.hydroshare.org/resource/7477452a93e04b1099a3879353c2253a/,hydroshare-enabling-collaboration-through-data-and-model-sharing-with-cuahsi-hydroshare-wor-metadata,hydroshare_enabling_collaboration_through_data_and_model_sharing_with_cuahsi_hydroshare_wor,"Title: Enabling collaboration through data and model sharing with CUAHSI HydroShare: Workshop presented as part of CIROH Developers Conference May 29, 2024
Abstract summary: This resource contains workshop materials addressing the collaborative needs of CIROH (Cooperative Institute for Research to Operations in Hydrology) research. Presented at the 2024 CIROH Developers Conference, the materials provide hands-on training for using the CUAHSI HydroShare platform to facilitate data and model sharing. Key topics include integration with operational hydrologic tools such as the National Water Model (NWM) and Flood Inundation Mapping (FIM), and connection to the CIROH data portal. The content is designed to enhance the technical capabilities of the CIROH developer community, promoting best practices for shareable computing and strengthening the link between hydrologic research and operational forecasting.
Primary Purpose: The primary purpose of this dataset is to provide educational and training materials from a workshop focused on the CUAHSI HydroShare platform. It was created to instruct CIROH developers and researchers on best practices for collaborative data and model sharing, thereby enhancing technical skills and fostering the integration of research with operational hydrologic forecasting systems."
24,https://help.hydroshare.org/,hydroshare-help-support-page-metadata,hydroshare_help_support_page,"Title: HydroShare Support
Abstract summary: The HydroShare Support portal provides comprehensive documentation for the HydroShare data repository. It offers users quick answers, detailed walkthroughs, and best practices for managing and sharing hydrological data and models. The content is structured into key sections covering platform introduction, resource creation, data publishing with DOIs, collaboration tools, and the use of integrated web apps for analysis. Key features include step-by-step guides for common workflows and technical documentation on system architecture. This portal is the primary resource for new and experienced users seeking to effectively utilize HydroShare for research and data management.
Primary Purpose: The primary purpose of this resource is to serve as the main documentation and help portal for the HydroShare platform. It provides users with getting-started guides, detailed feature documentation, and best practices for data management and collaboration. The portal aims to support researchers, collaborators, and new users in effectively sharing, discovering, and publishing hydrological data and models."
25,https://www.hydroshare.org/resource/4d98edaf289942e49ba1e2491d123a32/,hydroshare-high-water-marks-july-2024-vermont-floods-uvm-floodplains-metadata,hydroshare_high_water_marks_july_2024_vermont_floods_uvm_floodplains,"Title: High Water Marks July 2024 Vermont Floods - UVM Floodplains
Abstract summary: This dataset provides high-water mark observations collected following the widespread Vermont floods of July 10-11, 2024. Data were gathered from sites within a long-term floodplain monitoring and habitat assessment network maintained by the University of Vermont. These field-verified measurements offer critical ground-truth data for documenting the extent of an extreme hydrologic event. The dataset's significance lies in its direct application for calibrating and validating flood inundation models, assessing flood impacts on floodplain ecosystems, and enhancing operational flood forecasting and emergency response.
Primary Purpose: The primary goal of this dataset is to document the maximum flood extent of the July 2024 Vermont flooding event using direct field observations of high-water marks. It was created to provide crucial ground-truth data for scientific research, including flood model validation and habitat impact analysis, as well as for operational applications in hydrology."
26,https://www.hydroshare.org/resource/5d88721054a5458d93ad837192f38abb/,hydroshare-high-water-marks-july-and-december-2023-vermont-floods-uvm-floodplains-metadata,hydroshare_high_water_marks_july_and_december_2023_vermont_floods_uvm_floodplains,"Title: High Water Marks July and December 2023 Vermont Floods - UVM Floodplains
Abstract summary: This dataset documents high-water mark (HWM) observations from two major flood events in Vermont during 2023: the summer flood of July 10-11 and the winter flood of December 18. Following flood recession, researchers from the University of Vermont collected HWM data at sites within a long-term floodplain monitoring network. This comprehensive geospatial dataset is significant for its documentation of two distinct seasonal events in a single year, providing a unique opportunity for comparative analysis. The data serve as critical ground-truth for calibrating hydrologic and hydraulic models, improving flood risk mapping, and supporting research-to-operations initiatives. It is a key resource for understanding the increasing flood frequency and severity in the region.
Primary Purpose: The primary purpose of this dataset is to provide comprehensive, field-verified high-water mark data for the major Vermont floods of July and December 2023. It was created to support scientific research, enable the calibration and validation of flood inundation models, and inform regional flood resilience and risk assessment planning."
27,https://www.hydroshare.org/resource/631be88704ef4167b12e9ad9d2529ba9/,hydroshare-hydrofabric-subsetter-and-retrieval-metadata,hydroshare_hydrofabric_subsetter_and_retrieval,"Title: HydroFabric Subsetter and Retrieval
Abstract summary: This resource provides essential tools to subset and retrieve the HydroFabric dataset, foundational for the NOAA Next Generation (NextGen) Water Resource Modeling framework. The primary challenge addressed is the computational overhead associated with the complete, national-scale dataset. By enabling users to select and download only the specific data needed for their modeling domain, this tool significantly improves efficiency. This streamlined access supports NextGen model implementation, bridges research and operational forecasting, and promotes standardized data use within the hydrologic modeling community.
Primary Purpose: The primary purpose of this resource is to provide tools for efficiently subsetting and retrieving portions of the national HydroFabric dataset. It was created specifically to supply the necessary hydrographic data inputs for the NOAA Next Generation (NextGen) Water Resource Modeling framework, reducing data transfer and computational overhead for users."
28,https://www.hydroshare.org/resource/72ea9726187e43d7b50a624f2acf591f/,hydroshare-jupyter-notebooks-for-the-retrieval-of-aorc-data-for-hydrologic-analysis-metadata,hydroshare_jupyter_notebooks_for_the_retrieval_of_aorc_data_for_hydrologic_analysis,"Title: Jupyter Notebooks for the Retrieval of AORC Data for Hydrologic Analysis
Abstract summary: This resource offers a collection of Jupyter Notebooks designed to streamline access to the NOAA Analysis of Record for Calibration (AORC) dataset, a critical meteorological forcing dataset spanning 1979-2023. The notebooks provide documented workflows for retrieving and subsetting AORC data, which is available in both latitude-longitude and National Water Model (NWM) projections. By leveraging the efficient, cloud-optimized ZARR data format, these tools bridge the gap between large-scale atmospheric data and local hydrologic modeling needs. The primary significance lies in facilitating reproducible data processing for model calibration and analysis, directly supporting applications such as the NWM.
Primary Purpose: The main goal of this resource is to provide researchers with computational tools to efficiently access and process the large-scale NOAA AORC forcing dataset. These notebooks were created to simplify the retrieval of AORC data for specific regions and time periods, thereby supporting hydrologic analysis and the calibration of models like the National Water Model."
