idArtifact,Title,URL,Total Chunks,Sections,Subsections,Subsubsections
50,GitHub Repository Dashboard,https://docs.ciroh.org/docs/products/ngiab/dashboard/,1,1,0,0
51,Distributions,https://docs.ciroh.org/docs/products/ngiab/distributions/,1,1,0,0
52,NextGen on CIROH-2i2c JupyterHub,https://docs.ciroh.org/docs/products/ngiab/distributions/nextgen-2i2c/,4,1,3,0
53,NGIAB-CloudInfra,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/,11,1,6,4
54,Building the NGIAB Docker Container,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/building/,8,1,4,3
55,Contact Us,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/contact/,5,1,4,0
56,Contribution Guidelines,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/contribute/,4,1,3,0
57,Getting Started,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/getting-started/,3,2,1,0
58,Installation,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/install/,9,1,2,6
59,Specifications,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/specifications/,1,1,0,0
60,Containers and Guide Scripts,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/specifications/containers/,13,1,3,9
61,Included Models,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/specifications/models/,12,3,9,0
62,Realization Files,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/specifications/realizations/,9,1,6,2
63,Model Run Directories,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-docker/specifications/run-directories/,3,1,0,2
64,NGIAB-HPCInfra,https://docs.ciroh.org/docs/products/ngiab/distributions/ngiab-singularity/,6,1,3,2
65,Intro to NGIAB,https://docs.ciroh.org/docs/products/ngiab/intro/,1,1,0,0
66,NGIAB at a Glance,https://docs.ciroh.org/docs/products/ngiab/intro/at-a-glance/,1,1,0,0
67,Run Configuration Directory Structure,https://docs.ciroh.org/docs/products/ngiab/intro/directories/,3,1,0,2
68,Glossary,https://docs.ciroh.org/docs/products/ngiab/intro/glossary/,3,0,3,0
69,Installing NGIAB Locally,https://docs.ciroh.org/docs/products/ngiab/intro/install/,9,1,2,6
70,"NWM, NextGen, and NGIAB",https://docs.ciroh.org/docs/products/ngiab/intro/what-is/,5,1,4,0
71,Cyberinfrastructure and Community NextGen Office Hours,https://docs.ciroh.org/docs/products/ngiab/office-hours/,4,1,3,0
72,CIROH Research Portal,https://docs.ciroh.org/docs/products/portal/,18,1,10,7
73,NextGen Research Datastream,https://docs.ciroh.org/docs/products/research-datastream/,2,2,0,0
74,DatastreamCLI,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/,4,1,3,0
75,Internal Breakdown,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/breakdown/,12,2,10,0
76,Directory Structure,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/directories/,5,1,1,3
77,Installation,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/install/,2,1,1,0
78,Available Models,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/models/,4,1,3,0
79,CLI Options,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/options/,4,1,0,3
80,Datastream Python Tools,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/python_tools/,1,1,0,0
81,Usage Guide,https://docs.ciroh.org/docs/products/research-datastream/datastreamcli/usage/,5,2,3,0
82,Forcing Processor,https://docs.ciroh.org/docs/products/research-datastream/forcingprocessor/,13,2,6,5
83,Forcing Sources,https://docs.ciroh.org/docs/products/research-datastream/forcingprocessor/forcing_sources/,1,1,0,0
84,NextGen Research Datastream,https://docs.ciroh.org/docs/products/research-datastream/nrds-aws/,5,4,1,0
85,Operational Changelog,https://docs.ciroh.org/docs/products/research-datastream/nrds-aws/changelog/,2,2,0,0
86,NextGen Research Datastream for On-Premises,https://docs.ciroh.org/docs/products/research-datastream/nrds-onprem/,13,2,10,1
87,nwmurl,https://docs.ciroh.org/docs/products/research-datastream/nwmurl/,8,2,6,0
88,Snow Sensing and Modeling Tools,https://docs.ciroh.org/docs/products/snow-tools/,6,1,3,2
89,Optimized Snow Sensor Location,https://docs.ciroh.org/docs/products/snow-tools/optimize-sensors/,1,0,1,0
90,Intro to Snow Observations Modeling Analysis,https://docs.ciroh.org/docs/products/snow-tools/snow-intro/,1,1,0,0
91,Snow Sensing,https://docs.ciroh.org/docs/products/snow-tools/snow-sensing/,6,1,3,2
92,SWEMLv2.0,https://docs.ciroh.org/docs/products/snow-tools/sweml-v2-0/,6,2,3,1
93,Visualization and Analysis Tools,https://docs.ciroh.org/docs/products/visualization/,0,0,0,0
94,Tethys-CSES,https://docs.ciroh.org/docs/products/visualization/tethys-cses/,11,2,5,4
95,CIROH CyberInfrastructure,https://docs.ciroh.org/docs/services/,5,1,4,0
96,Infrastructure Access,https://docs.ciroh.org/docs/services/access/,1,1,0,0
97,Public Cloud,https://docs.ciroh.org/docs/services/cloudservices/,1,1,0,0
98,CIROH-2i2c JupyterHub,https://docs.ciroh.org/docs/services/cloudservices/2i2c/,12,1,8,3
99,Server Image Configurations,https://docs.ciroh.org/docs/services/cloudservices/2i2c/available-images/,3,1,2,0
100,Persistent Conda Environment,https://docs.ciroh.org/docs/services/cloudservices/2i2c/conda/,1,1,0,0
101,Request Custom Images,https://docs.ciroh.org/docs/services/cloudservices/2i2c/custom-images/,4,1,0,3
102,JupyterHub User Directory,https://docs.ciroh.org/docs/services/cloudservices/2i2c/directory/,4,1,0,3
103,Manage files in GCP bucket,https://docs.ciroh.org/docs/services/cloudservices/2i2c/gcp-object-storage/,9,1,1,7
104,Push and Pull to GitHub,https://docs.ciroh.org/docs/services/cloudservices/2i2c/github-push/,2,1,0,1
105,HydroShare Integration,https://docs.ciroh.org/docs/services/cloudservices/2i2c/hydroshare-integration/,11,1,5,5
106,Python Package Version Conflicts,https://docs.ciroh.org/docs/services/cloudservices/2i2c/python-package-conflicts/,3,1,0,2
107,Prevent Server Timeout,https://docs.ciroh.org/docs/services/cloudservices/2i2c/server-timeout/,3,1,0,2
108,HydroShare,https://docs.ciroh.org/docs/services/cloudservices/HydroShare/,8,1,3,4
109,CIROH AWS Account,https://docs.ciroh.org/docs/services/cloudservices/aws/,6,1,5,0
110,Documentation and Tutorial,https://docs.ciroh.org/docs/services/cloudservices/aws/documentation/,0,0,0,0
111,AWS Best Practices,https://docs.ciroh.org/docs/services/cloudservices/aws/documentation/aws-best-practice/,7,1,6,0
112,,https://docs.ciroh.org/docs/services/cloudservices/aws/documentation/data-science-tools/,1,1,0,0
113,Tag Resources on AWS,https://docs.ciroh.org/docs/services/cloudservices/aws/documentation/tagging/,2,2,0,0
114,CIROH AWS Office Hours,https://docs.ciroh.org/docs/services/cloudservices/aws/officehours/,1,1,0,0
115,Cloud Services Blogs,https://docs.ciroh.org/docs/services/cloudservices/cloudserviceblogs/,4,1,3,0
116,CUAHSI JupyterHub,https://docs.ciroh.org/docs/services/cloudservices/cuahsi/,7,2,2,3
117,CIROH Google Account,https://docs.ciroh.org/docs/services/cloudservices/google-cloud/,6,1,5,0
118,External Resources,https://docs.ciroh.org/docs/services/external-resources/,1,1,0,0
119,NSF Access,https://docs.ciroh.org/docs/services/external-resources/nsf-access/,2,2,0,0
120,Anvil,https://docs.ciroh.org/docs/services/external-resources/nsf-access/anvil/,2,1,0,1
121,NSF NCAR Derecho,https://docs.ciroh.org/docs/services/external-resources/nsf-access/derecho/,2,1,0,1
122,JetStream2,https://docs.ciroh.org/docs/services/external-resources/nsf-access/jetstream/,3,1,0,2
123,On-Premises,https://docs.ciroh.org/docs/services/on-prem/,3,1,2,0
124,Pantarhei,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/,2,1,0,1
125,Running Jobs,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/RunningJobs/,2,1,0,1
126,Accessing the Compute Nodes,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/RunningJobs/computenode/,1,1,0,0
127,Accessing the System,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/access/,4,1,0,3
128,Obtaining an Account,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/obtain/,2,1,0,1
129,System Architecture,https://docs.ciroh.org/docs/services/on-prem/Pantarhei/sysinfo/,2,1,0,1
130,Wukong,https://docs.ciroh.org/docs/services/on-prem/Wukong/,2,1,0,1
131,Accessing the System,https://docs.ciroh.org/docs/services/on-prem/Wukong/access/,4,1,0,3
132,Obtaining an Account,https://docs.ciroh.org/docs/services/on-prem/Wukong/obtain/,2,1,0,1
133,System Architecture,https://docs.ciroh.org/docs/services/on-prem/Wukong/sysinfo/,2,0,0,2
134,CIROH Subdomain Request Form,https://docs.ciroh.org/docs/services/subdomain/,1,1,0,0
